ID	Concept	Doculect	Value	Tokens
348	animal	a11londo	n-yàmà	n j a m a
349	arm	a11londo	mò-kɔ̀	m o k ɔ
350	ashes	a11londo	ù-bu	u b u
351	bark	a11londo	ekuku	e k u k u
352	bed	a11londo	dì-nɔ̀ŋgɔ̀	d i n ɔ ŋ g ɔ
353	belly	a11londo	m-ɛa	m ɛ a
354	big	a11londo	kɔlɔ	k ɔ l ɔ
355	bird	a11londo	ì-nɔɔ	i n ɔ ɔ
356	bite	a11londo	da	d a
357	blood	a11londo	mà-cìá	m a c i a
358	bone	a11londo	è-sé	e s e
359	breast	a11londo	dì-bɛ́ɛ̀	d i b ɛ ɛ
360	burn	a11londo	aŋgɛ	a ŋ g ɛ
361	child	a11londo	ŋw-ánà	ŋ w a n a
362	cloud	a11londo	motutu	m o t u t u
363	come	a11londo	ɸɔ	ɸ ɔ
364	count	a11londo	laŋga	l a ŋ g a
365	dew	a11londo	bè-kɛdi	b e k ɛ d i
366	die	a11londo	wa	w a
367	dog	a11londo	m-fáà	m f a a
368	drink	a11londo	ŋwa	ŋ w a
369	ear	a11londo	dì-tóò	d i t o o
370	eat	a11londo	dì-dá	d i d a
371	egg	a11londo	mò-cyé	m o c j e
372	elephant	a11londo	n-jɛ̀kù	n j ɛ k u
373	eye	a11londo	dì-ísò	d i i s o
374	face	a11londo	boso	b o s o
375	fall	a11londo	kunda	k u n d a
376	fat, oil	a11londo	dì-ɔ́mí	d i ɔ m i
377	feather	a11londo	esa	e s a
378	fingernail	a11londo	è-sàsà	e s a s a
379	fire	a11londo	ŋw-ɛa ~ muea	ŋ w ɛ a
380	fire-wood	a11londo	iwori	i w o r i
381	fish	a11londo	ɲamamaliba	ɲ a m a m a l i b a
382	five	a11londo	beta	b e t a
383	fly	a11londo	kolwa	k o l w a
384	four	a11londo	beni	b e n i
385	give	a11londo	iɲɛ	i ɲ ɛ
386	goat	a11londo	m-bódì	m b o d i
387	ground, soil	a11londo	moɲɛrɛ	m o ɲ ɛ r ɛ
388	hair	a11londo	n-yùŋgà	n j u ŋ g a
389	head	a11londo	mò-dófò	m o d o f o
390	hear	a11londo	oka	o k a
391	heart	a11londo	mò-démà	m o d e m a
392	horn	a11londo	mò-sébá	m o s e b a
393	house	a11londo	n-dábò	n d a b o
394	hunger	a11londo	n-ja	n j a
395	intestine	a11londo	è-wùŋgé	e w u ŋ g e
396	iron	a11londo	ebo	e b o
397	kill	a11londo	boloa	b o l o a
398	knee	a11londo	dì-bɔ́ŋgɔ́	d i b ɔ ŋ g ɔ
399	knife	a11londo	dì-ɛ́ndí	d i ɛ n d i
400	know	a11londo	iwoa	i w o a
401	leaf	a11londo	è-ánì	e a n i
402	leg	a11londo	mò-fáŋgá	m o f a ŋ g a
403	liver	a11londo	dì-bà	d i b a
404	louse	a11londo	ɲa	ɲ a
405	man	a11londo	moina	m o i n a
406	moon	a11londo	ŋ-gɔndɛ	ŋ g ɔ n d ɛ
407	mouth	a11londo	ò-àná	o a n a
408	name	a11londo	dì-ínà	d i i n a
409	navel	a11londo	dì-tɛ́ŋgù	d i t ɛ ŋ g u
410	neck	a11londo	dì-bɔ̀dì	d i b ɔ d i
411	night	a11londo	bù-dite	b u d i t e
412	nose	a11londo	mò-fìkí	m o f i k i
413	one	a11londo	eyɔkɔ	e j ɔ k ɔ
414	person	a11londo	mò-tò	m o t o
415	rain	a11londo	m-búà	m b u a
416	road	a11londo	n-jìá	n j i a
417	root	a11londo	muri	m u r i
418	salt	a11londo	i-kwa	i k w a
419	sand	a11londo	ɲaŋga	ɲ a ŋ g a
420	see	a11londo	dɛ̀-ɛ́nɛ̀	d ɛ ɛ n ɛ
421	send	a11londo	loma	l o m a
422	shame	a11londo	isɔsɔ	i s ɔ s ɔ
423	sing	a11londo	kɔnɔ	k ɔ n ɔ
424	skin	a11londo	ɲolo	ɲ o l o
425	sky	a11londo	ŋw-adoba	ŋ w a d o b a
426	sleep	a11londo	iyɔ	i j ɔ
427	smoke	a11londo	motutu	m o t u t u
428	snake	a11londo	n-yɔ́ɔ̀	n j ɔ ɔ
429	spear	a11londo	dì-kɔ̀ŋgɔ́	d i k ɔ ŋ g ɔ
430	steal	a11londo	ube	u b e
431	stone	a11londo	wà-ádè	w a a d e
432	sun	a11londo	loba	l o b a
433	tail	a11londo	mò-kòndó	m o k o n d o
434	ten	a11londo	dondaro	d o n d a r o
435	three	a11londo	beyaro	b e j a r o
436	tongue	a11londo	ì-yémè	i j e m e
437	tooth	a11londo	dì-sòŋgá	d i s o ŋ g a
438	tree	a11londo	bò-dé	b o d e
439	two	a11londo	beba	b e b a
440	urine	a11londo	m-ínyádí	m i n j a d i
441	village	a11londo	mò-kí	m o k i
442	vomit	a11londo	yoa	j o a
443	walk	a11londo	dì-kɛ̀ndɛ̀	d i k ɛ n d ɛ
444	war	a11londo	b-ìdá	b i d a
445	water	a11londo	mà-líbá	m a l i b a
446	wind	a11londo	ŋguŋga	ŋ g u ŋ g a
447	woman	a11londo	ŋw-ádánà	ŋ w a d a n a
448	animal	a121mbonge	ɲama	ɲ a m a
449	arm	a121mbonge	mokɔ	m o k ɔ
450	ashes	a121mbonge	mbu	m b u
451	bark	a121mbonge	ekuku	e k u k u
452	bed	a121mbonge	linɔŋgɔ	l i n ɔ ŋ g ɔ
453	belly	a121mbonge	mea	m e a
454	big	a121mbonge	kɔlɔ	k ɔ l ɔ
455	bird	a121mbonge	inɔ	i n ɔ
456	bite	a121mbonge	da	d a
457	blood	a121mbonge	makia	m a k i a
458	bone	a121mbonge	ese	e s e
459	breast	a121mbonge	dibɛ	d i b ɛ
460	burn	a121mbonge	yaŋga	j a ŋ g a
461	child	a121mbonge	ŋana	ŋ a n a
462	cloud	a121mbonge	ekutukutu	e k u t u k u t u
463	come	a121mbonge	fɔ	f ɔ
464	count	a121mbonge	laŋga	l a ŋ g a
465	dew	a121mbonge	bekɛli	b e k ɛ l i
466	die	a121mbonge	wa	w a
467	dog	a121mbonge	mgba	m g b a
468	drink	a121mbonge	ɲua	ɲ u a
469	ear	a121mbonge	dito	d i t o
470	eat	a121mbonge	da	d a
471	egg	a121mbonge	like	l i k e
472	elephant	a121mbonge	njɛku	n j ɛ k u
473	eye	a121mbonge	disɔ	d i s ɔ
474	face	a121mbonge	boso	b o s o
475	fall	a121mbonge	kunda	k u n d a
476	fat, oil	a121mbonge	diɔmi	d i ɔ m i
477	feather	a121mbonge	esa	e s a
478	fingernail	a121mbonge	esɔsɔ	e s ɔ s ɔ
479	fire	a121mbonge	ŋea	ŋ e a
480	fire-wood	a121mbonge	iyoli	i j o l i
481	fish	a121mbonge	ndɔndi	n d ɔ n d i
482	five	a121mbonge	beta	b e t a
483	fly	a121mbonge	uŋga	u ŋ g a
484	four	a121mbonge	bene	b e n e
485	give	a121mbonge	ɲɛŋgɛ	ɲ ɛ ŋ g ɛ
486	goat	a121mbonge	mboli	m b o l i
487	ground, soil	a121mbonge	muɲɛlɛ	m u ɲ ɛ l ɛ
488	hair	a121mbonge	ɲuŋga	ɲ u ŋ g a
489	head	a121mbonge	molofo	m o l o f o
490	hear	a121mbonge	boka	b o k a
491	heart	a121mbonge	molema	m o l e m a
492	horn	a121mbonge	museba	m u s e b a
493	house	a121mbonge	ndabo	n d a b o
494	hunger	a121mbonge	nja	n j a
495	intestine	a121mbonge	mea	m e a
496	iron	a121mbonge	ekɔkɔ	e k ɔ k ɔ
497	kill	a121mbonge	boloa	b o l o a
498	knee	a121mbonge	libɔŋgɔ	l i b ɔ ŋ g ɔ
499	knife	a121mbonge	dilɛndi	d i l ɛ n d i
500	know	a121mbonge	iyoa	i j o a
501	leaf	a121mbonge	eya	e j a
502	leg	a121mbonge	ŋende	ŋ e n d e
503	liver	a121mbonge	libɛ	l i b ɛ
504	louse	a121mbonge	ɲia	ɲ i a
505	man	a121mbonge	momana	m o m a n a
506	moon	a121mbonge	ŋgɔndɛ	ŋ g ɔ n d ɛ
507	mouth	a121mbonge	wana	w a n a
508	name	a121mbonge	dina	d i n a
509	navel	a121mbonge	ditɛŋgu	d i t ɛ ŋ g u
510	neck	a121mbonge	dibɛlu	d i b ɛ l u
511	night	a121mbonge	bulute	b u l u t e
512	nose	a121mbonge	do	d o
513	one	a121mbonge	eyɔkɔ	e j ɔ k ɔ
514	person	a121mbonge	moto	m o t o
515	rain	a121mbonge	mbua	m b u a
516	road	a121mbonge	njea	n j e a
517	root	a121mbonge	ŋili	ŋ i l i
518	salt	a121mbonge	ikpa	i k p a
519	sand	a121mbonge	ɲaŋgɛ	ɲ a ŋ g ɛ
520	see	a121mbonge	ɛnɛ	ɛ n ɛ
521	send	a121mbonge	loma	l o m a
522	shame	a121mbonge	isɔ	i s ɔ
523	sing	a121mbonge	kɔnɔ	k ɔ n ɔ
524	skin	a121mbonge	ekobo	e k o b o
525	sky	a121mbonge	loba	l o b a
526	sleep	a121mbonge	iyɔ	i j ɔ
527	smoke	a121mbonge	motutu	m o t u t u
528	snake	a121mbonge	ɲɔ	ɲ ɔ
529	spear	a121mbonge	dikɔŋgɔ	d i k ɔ ŋ g ɔ
530	steal	a121mbonge	iba	i b a
531	stone	a121mbonge	bolale	b o l a l e
532	sun	a121mbonge	disɛnji	d i s ɛ n j i
533	tail	a121mbonge	mokondo	m o k o n d o
534	ten	a121mbonge	dondalo	d o n d a l o
535	three	a121mbonge	belalo	b e l a l o
536	tongue	a121mbonge	iyeme	i j e m e
537	tooth	a121mbonge	disoŋga	d i s o ŋ g a
538	tree	a121mbonge	wele	w e l e
539	two	a121mbonge	bebe	b e b e
540	urine	a121mbonge	miɲali	m i ɲ a l i
541	village	a121mbonge	mboka	m b o k a
542	vomit	a121mbonge	yoa	j o a
