ID	Concept	Doculect	Value	Tokens
1	animal	d20bvamba1919	Ny-ama	n j a m a
2	arm	d20bvamba1919	K-ɯkɯ;	k ɯ k ɯ
3	belly	d20bvamba1919	Ki-hu	k i h u
4	bird	d20bvamba1919	Ny-uni	n j u n i
5	bone	d20bvamba1919	Ma-kue	m a k u e
6	breast	d20bvamba1919	I-were	i w e r e
7	child	d20bvamba1919	Mu-kerembe	m u k e r e m b e
8	come	d20bvamba1919	vu	v u
9	dog	d20bvamba1919	M-bwa	m b w a
10	ear	d20bvamba1919	Ku-tue	k u t u e
11	egg	d20bvamba1919	Ma-hɯli	m a h ɯ l i
12	elephant	d20bvamba1919	N-dsɯgu	n d s ɯ g u
13	eye	d20bvamba1919	Li-isɯ	l i i s ɯ
14	face	d20bvamba1919	Al-insɯ	a l i n s ɯ
15	fat, oil	d20bvamba1919	Bi-sabɯ	b i s a b ɯ
16	fingernail	d20bvamba1919	Ki-kuru	k i k u r u
17	fire	d20bvamba1919	Mu-lirɯ	m u l i r ɯ
18	fish	d20bvamba1919	I-sui	i s u i
19	five	d20bvamba1919	tanɯ	t a n ɯ
20	four	d20bvamba1919	nai	n a i
21	goat	d20bvamba1919	M-buli	m b u l i
22	hair	d20bvamba1919	I-sɯkɯ	i s ɯ k ɯ
23	head	d20bvamba1919	Mu-twe	m u t w e
24	heart	d20bvamba1919	Mu-tema	m u t e m a
25	house	d20bvamba1919	Ny-umba	n j u m b a
26	hunger	d20bvamba1919	N-jera	n j e r a
27	iron	d20bvamba1919	Ki-ɯma	k i ɯ m a
28	knee	d20bvamba1919	Kuru	k u r u
29	knife	d20bvamba1919	Mu-hiɯ	m u h i ɯ
30	leg	d20bvamba1919	N-sume	n s u m e
31	moon	d20bvamba1919	Mu-epi	m u e p i
32	mouth	d20bvamba1919	Mu-nwa	m u n w a
33	name	d20bvamba1919	L-inya	l i n j a
34	navel	d20bvamba1919	Mu-kunde	m u k u n d e
35	neck	d20bvamba1919	Vi-kia	v i k i a
36	night	d20bvamba1919	M-kirɯ	m k i r ɯ
37	nose	d20bvamba1919	Mu-hure	m u h u r e
38	one	d20bvamba1919	Ki.moi	k i m o i
39	rain	d20bvamba1919	M-bura	m b u r a
40	road	d20bvamba1919	Ci-handɯ	c i h a n d ɯ
41	salt	d20bvamba1919	Ki-sura	k i s u r a
42	skin	d20bvamba1919	Ki-kɯba	k i k ɯ b a
43	sky	d20bvamba1919	I -guru	i + g u r u
44	sleep	d20bvamba1919	N-dañgale	n d a ɲ g a l e
45	smoke	d20bvamba1919	Mu-ika	m u i k a
46	snake	d20bvamba1919	N-jɯka	n j ɯ k a
47	spear	d20bvamba1919	I-timmɯ	i t i m m ɯ
48	stone	d20bvamba1919	I -vale	i + v a l e
49	sun	d20bvamba1919	M-sana	m s a n a
50	tail	d20bvamba1919	Mu-kira	m u k i r a
51	three	d20bvamba1919	satu	s a t u
52	tongue	d20bvamba1919	Ki-remi	k i r e m i
53	tooth	d20bvamba1919	M-enɯ	m e n ɯ
54	tree	d20bvamba1919	Mu-ti	m u t i
55	two	d20bvamba1919	wiri	w i r i
56	urine	d20bvamba1919	M-kali	m k a l i
57	war	d20bvamba1919	Ku-rua-na	k u r u a n a
58	wind	d20bvamba1919	M-puega or M-puera	m p u e g a
59	woman	d20bvamba1919	Mu-kali	m u k a l i
60	animal	d304homa1919	Ny-ama	n j a m a
61	arm	d304homa1919	Bakɯ	b a k ɯ
62	belly	d304homa1919	sapɯ	s a p ɯ
63	bird	d304homa1919	M-buru	m b u r u
64	blood	d304homa1919	Bu-gurrum	b u g u r r u m
65	bone	d304homa1919	Kɯɯ	k ɯ ɯ
66	breast	d304homa1919	Ma-rungɯma	m a r u n g ɯ m a
67	child	d304homa1919	M-ini-k	m i n i k
68	come	d304homa1919	-duna	d u n a
69	die	d304homa1919	-kus	k u s
70	dog	d304homa1919	Um-ba	u m b a
71	ear	d304homa1919	Tao-k	t a o k
72	eat	d304homa1919	ya.-mia	j a m i a
73	egg	d304homa1919	Ma-kɯma	m a k ɯ m a
74	elephant	d304homa1919	M-bongɯ	m b o n g ɯ
75	eye	d304homa1919	Ru-sul	r u s u l
76	face	d304homa1919	Tundu-k	t u n d u k
